InitialTerm,Sentiment,Anger,Disgust,Fear,Happiness,Sadness,Surprise
############################################################
# This lexicon was compiled from lexicons by D.Spiliotopoulos et al., and A. Tsakalidis et al., with additions by P. Pratikakis.
# Words are not stemmed, this is meant to be used with a stemmer or POS tagger that can look up the base form.
# This works well with the "twAwler" crawler/feature extractor, and with the "el-wiktionary-parser" POS-tagger.
# Redundant entries have been commented out, and sentiment opinions have been averaged, when listed individually in each source lexicon.
############################################################
αναστάτωση,-3,3.75,1.5,3.25,1.75,3,4
αναστέλλω,-2,3,3,3,1,3,1
ανασταίνομαι,1,1,1,1,5,1,4
αναστατωμένοι,-2,3,3,3,1,3,1
αναστατωμένος,-3,3,3,3,1,3,1
αναστατώνω,-3,3.75,1.5,3.25,1.75,3,4
αναστεναγμός,-2,1.5,1,1.75,2,4.5,1.75
αναστολή,-2,3,3,3,1,3,1
ανασφάλεια,-4,1.5,1,4,1,2.5,1.5
ανασφαλής,-2,3,3,4,1,4,1
αναταραχή,-2,3,3,3,1,3,1
ανατρέπω,-2,3,3,3,1,3,1
ανατριχίλα,-3,1.75,3.25,3.5,1.5,2.25,3
ανατριχιάζω,-3,1.75,3.5,3.75,1.5,2.25,3
ανατροπή,-2,3,3,3,1,3,1
ανδραγάθημα,3,1,1,1,4,1,3
ανδρείκελο,-4,2.25,3.5,1,1,1.5,1.25
ανείπωτος,-2,3,3,3,1,3,1
ανεγκέφαλος,-3,2,1,0,0,1,1
ανειλικρινής,-3,2.333333333,2.333333333,1,1,1.333333333,1
ανεκδήλωτος,-1,1.5,1,1,1,1,1
ανεκδιήγητος,-4,3,3.25,1,1.5,2,1.5
ανεκδοτολογία,-3,2,2.333333333,1,1,1,1
ανεκπαίδευτο,-2,3,2,3,1,3,1
ανελέητος,-4,3,2.75,1.75,1,2.5,1.25
ανελεήμονας,-4,2.5,2.5,1.75,1,2.5,1.25
ανεμίζω,1,0,0,0,0,0,0
ανεντρόπιαστος,-4,2.75,2.75,1,1,2,1.75
ανενόχλητος,-2,3,2,3,0,1,3
ανεξάρτητος,-2,1,1,1,3,1,1
ανεξέλεγκτος,-2,4,3,4,1,3,1
ανεξήγητος,-2,3,3,3,1,3,1
ανεπάρκεια,-2,3,3,3,1,3,1
ανεπιθύμητος,-2,3,2,3,1,4,1
ανεπιτυχής,-3,3,3,3,1,3,1
ανεπιφύλακτος,-2,1,1,1,2,1,1
ανεργία,-2,5,4,5,1,5,3
ανευθυνολογώ,-4,2.5,2.25,1,1,1,1
ανεύθυνος,-4,2.5,2.75,1.25,1,2.25,1
ανηλεής,-2,4,4,5,0,4,1
ανησυχία,-2,2,2,4,1,3,1
ανησυχητικός,-2,1,2,4,1,1,3
ανησυχώ,-3,2,2,4,1,3,1
ανθρωπάκι,-3,3,3.25,1,1.5,1.75,1
ανθρωπάκος,-3,3,3.25,1,1.5,1.75,1
ανθρωπιά,4,1,1,1,3.25,1,1.75
ανθρωπιστικός,4,0,0,0,5,0,3
ανθρωποκτονία,-4,4,4,5,0,4,1
ανθρωποφάγος,-2,5,5,5,0,5,1
ανθρωποφοβία,-4,1.25,2,4.25,1,1.5,1.5
ανθρώπινος,4,1,1,1,5,1,1
ανθυγιεινός,-2,2,2,3,1,3,1
ανιαρός,-2,2,2,2,1,2,1
ανικανοποίητος,-2,1.666666667,1.333333333,1,1.333333333,2.333333333,1
ανικανότητα,-4,4,5,4,0,4,3
ανισόρροπος,-2,3,3,3,1,3,1
ανισότητα,-2,2,2,3,1,2,1
ανιχνεύω,-1,1,1,1,1,1,1
ανοίγω,1,0,0,0,0,0,0
ανοησία,-2,3,3,3,1,3,1
ανοησίες,-2,3,3,3,1,3,1
ανορθώνω,1,1,1,1,4,1,1
αντάρτης,-2,3,3,4,1,3,1
αντίδραση,-2,3,2,3,1,3,1
αντίθεση,-2,2,2,2,2,3,2
αντίθετα,-2,3,2,3,1,3,1
αντίθετος,-2,2,2,2,2,3,2
αντίκρουση,-2,3,3,3,1,3,1
αντίπαλος,-2,3,2,3,1,3,1
αντίποινα,-2,3,3,4,1,3,1
αντίχριστος,-4,4.25,2.75,2.5,1,1,1.25
ανταγωνίζομαι,-2,3,2,1,3,2,1
ανταγωνισμός,-2,3,2,1,3,2,1
ανταγωνιστής,-2,3,2,1,3,2,1
ανταγωνιστικός,-2,3,2,1,3,2,1
ανταμοιβή,2,1,1,1,3,1,1
ανταποκρίνομαι,2,1,1,1,4,1,4
αντηλιά,-2,1,1,1,1,1,1
αντιαμερικανικός,-2,3,2,1,1,1,1
αντιγραφέας,-2,3,3,1,1,1,2
αντιδημοκρατικός,-4,3,4,4,1,4,2
αντιδραστικός,-2,3,2,3,1,3,1
αντιδρώ,-1,4,3,4,1,4,3
αντικοινωνικός,-2,3,2,3,1,3,1
αντιμαχόμενος,-3,3,3,3,1,3,1
αντιμετωπίζω,-3,3,3,2,1,2,1
αντιμονοπωλιακός,-2,1,1,1,3,1,1
αντιξοότητα,-2,1,1,2,0,2,2
αντιοικονομικός,-2,2,2,3,1,4,1
αντιπάθεια,-3,3,3,4,1,4,1
αντιπαθώ,-4,3.5,3.5,1,1,1.25,1
αντιπερισπασμός,-2,1,1,1,2,1,1
αντιπολίτευση,-2,2,2,2,1,2,1
αντιπρόεδρος,-2,1,1,1,1,1,1
αντισημίτης,-3,3,3,3,1,1,2
αντισημιτικός,-2,4.5,3,1.5,1,1,1
αντιστέκομαι,-1,2,1.666666667,2,1.666666667,1.333333333,1
αντιτάσσομαι,-2,3,3,3,1,3,1
αντιφατικά,-2,3,2,3,1,3,1
ανυπάκουος,-2,3,3,3,1,3,1
ανυπακοή,-2,3,3,3,1,3,1
ανυπομονησία,1,1.5,1,1,3.25,1,1.75
ανυπομονώ,1,1.5,1,1,3.25,1,1.5
ανυπόκριτος,1,1.333333333,1.333333333,1,2.333333333,1,1.666666667
ανυπόφορος,-2,4,4,4,0,4,1
ανφολιάζω,-1,1,0,1,0,2,2
ανφόλο,-1,1,0,1,0,2,2
ανωμαλία,-2,4,4,4,1,4,1
ανωτερότητα,4,1,1,1,2.75,1,1.25
ανόητος,-2,3,3,3,1,3,1
ανόθευτος,2,1,1,1,3,1,3.5
ανύπαντρος,-1,1,1,1,1,1,1
ανώμαλος,-2,4,4,4,1,4,1
ανώριμος,-2,3,3,4,1,3,1
ανώτερος,3,1,1,1,4,1,1
αξία,2,1,1,1,3,1,3
αξίζω,2,1,0,1,5,0,2
αξιοθρήνητος,-2,3,3,3,1,4,1
αξιοκρατικός,3,1,0,1,5,1,2
αξιολάτρευτος,4,1,1,1,4,1,2.75
αξιολύπητος,-3,3,3,3,1,4,1
αξιοπιστία,2,1,0,1,5,1,2
αξιοποιώ,2,1,0,1,5,1,2
αξιοπρέπεια,3,1,0,1,5,1,2
απάθεια,-2,2,1,1,0,1,0
απάνθρωπος,-4,3.25,3,1.75,1,2.75,1.5
απάτη,-2,4,4,4,0,4,1
απέχθεια,-4,3,4.25,1,1,1.5,1.25
απέχω,-2,2,2,2,1,2,1
απήδηχτος,-3,3.5,3.25,1,1,1.5,2
απίστευτος,-2,3,3,3,1,3,4
απαίσιος,-4,4,4,4,0,4,1
απαγγέλλω,1,1,1,1,2,1,1
απαγορεύω,-2,2,2,3,1,3,1
απαγωγή,-2,3,3,3,1,3,1
απαθής,-2,2,1,1,0,1,0
απαθώς,-2,2,1,1,0,1,0
απαιτώ,-1,5,4,3,1,4,4
απαλλάσσομαι,1,4,5,4,5,1,3
απαλλάσσω,-2,3,3,4,1,4,1
απαλλαγή,-2,3,3,4,1,4,1
απαλλοτριώνω,-1,2,1,2,1,1,1
απαλύνω,3,1,1,1,2.333333333,1.333333333,1.333333333
απανθρωπιά,-4,3.25,2.75,1.5,1,3,1.5
απανθρωποποίηση,-3,3,2.666666667,2,1,2.666666667,1.666666667
απαξάπαντες,-1,2.5,1.5,1,1.5,1.5,2
απαξία,-2,1,2,0,0,2,0
απαξίωση,-2,1,2,0,0,2,0
απαξιωτικός,-2,1,2,0,0,2,0
απαξιωτικώς,-2,1,2,0,0,2,0
απαξιώνω,-2,1,2,0,0,2,0
απαράδεκτος,-2,4,5,4,1,4,4
απαρατήρητος,-2,2,2,2,1,2,1
απαρνιέμαι,-2,3,3,3,1,3,1
απαρχαιωμένος,-2,3,2,3,1,3,1
απατεώνας,-4,5,5,4,1,5,3
απείθαρχος,-2,3,3,4,1,3,1
απειλή,-3,3,3,5,1,4,1
απειλούμαι,-4,5,5,5,1,4,3
απειλώ,-4,5,5,5,1,4,3
απελπισία,-4,4,4,5,0,4,1
απελπισμένος,-4,4,4,5,0,4,1
απενεργοποίηση,-2,2,2,2,1,3,1
απερίγραπτος,-1,3.333333333,2.333333333,1,2.333333333,2.666666667,2.666666667
απερίσκεπτη,-2,3,3,3,1,3,1
απεργία,-2,3,3,3,1,3,1
απεριποίητος,-2,3,3,3,1,3,1
απεχθάνομαι,-4,3,4.25,1,1,1.5,1
απεχθής,-4,3,4,1,1,2,1
απεχθώς,-4,3,4,1,1,2,1
απλήρωτος,-1,4,4,4,1,4,2
απληροφόρητος,-2,3,3,3,1,3,1
απληστία,-3,4,4,4,0,4,1
απλοϊκή,-2,3,3,3,1,3,1
απλός,1,1,1,1,1,1,1
απογοήτευση,-4,1.75,2.25,1,1,4,1.5
απογοητεύω,-4,1.5,2,1,1,4,1.5
αποδέσμευση,1,1,1,1,4,1,2
αποδέχομαι,2,2,1,2,1,2,3
αποδείχνω,3,1,1,1,4,1,2
αποδεικνύω,3,1,1,1,4,1,2
αποδιοργανωμένος,-2,3,3,4,1,4,1
αποδοκιμασία,-4,3.25,2.75,1,1,2.25,1.25
αποδοχή,2,2,1,2,1,2,3
αποδώ,-2,3.333333333,2.333333333,1,1,1.333333333,1.333333333
αποζητώ,1,1,1,1,2.333333333,2.666666667,1.333333333
αποζουρλαίνω,-2,2.25,2.25,1,2.25,1.5,2
αποθαρρυμένος,-2,3,3,5,0,5,1
αποθαρρυντικός,-2,3,3,5,0,5,1
αποθαρρύνω,-2,3,3,5,0,5,1
αποθηκεύω,2,1,1,1,3,1,1
αποκάλυψη,-1,1,1,3,0,1,3
αποκήρυξη,-2,3,3,3,1,3,1
αποκαλυπτικό,-1,1,1,3,0,1,3
αποκηρύξει,-2,3,3,3,1,3,1
αποκηρύσσω,-2,3,3,3,1,3,1
αποκλίνουν,-2,1,1,2,1,2,1
αποκλείουν,-2,3,3,3,1,4,1
αποκλεισμός,-2,3,3,3,1,4,1
αποκρουστικός,-2,4,4,4,0,4,1
αποκόπτω,-2,3,3,3,1,4,1
απολαύσει,3,1,1,1,5,1,1
απολειφάδι,-4,2.25,3.75,1,1,1,1
απολογητής,-2,3,3,1,0,2,1
απολυταρχικός,-3,3,3,3,1,3,1
απολύσεις,-2,5,4,5,1,5,3
απομίμηση,-2,3,3,3,1,3,1
απονάρκωση,-2,2.5,2,1,1,2,1
αποξένωση,-2,1,2,3,1,3,1
αποξενωμένος,-2,2,2,3,1,3,1
αποπνέω,1,1,1.666666667,1.666666667,2.333333333,2.333333333,1
αποποιούμαι,-2,3,2,3,1,3,1
απορρίπτω,-2,3,2,3,1,3,1
απορφανίζω,-3,3,2.333333333,2,1,3.333333333,1.333333333
αποσβολώνω,1,1.75,2,2.75,1.75,1.75,4.75
αποστέρηση,-3,2,1,1.333333333,1,2,1
αποστασιοποιούμαι,-2,2.5,1,1,1,1,1
αποστολή,1,0,0,0,0,0,0
αποστρέφομαι,-4,2.5,4.25,1.25,1,1.75,1
αποστροφή,-4,2.5,4.25,1.25,1,1.75,1
αποσύνδεση,-2,2,2,2,1,2,1
αποσύνθεση,-2,3,3,3,1,3,1
αποτίμηση,2,1,1,1,2,1,1
αποτελειώνω,-2,2,2,3,1,2,0
αποτιμώ,2,1,1,1,2,1,1
αποτιμώμαι,2,1,1,1,2,1,1
αποτρέψουν,-2,2,2,2,1,3,1
αποτρεπτικό,-2,2,2,2,1,3,1
αποτροπή,-2,2,2,3,1,3,1
αποτροπιασμός,-4,2,5,1.25,1,1.75,1
αποτρόπαια,-4,4,5,4,0,4,1
αποτυγχάνουν,-3,3,3,4,1,4,1
αποτυγχάνω,-3,3,3,4,1,3,1
αποτυφλώνω,-2,2.5,2.5,2,1,2,1.5
αποτυχία,-3,4,4,4,1,4,2
αποτυχημένος,-3,4,4,4,1,4,2
απουσία,-1,1,1,2,1,3,1
αποφασίζω,1,1,1,1,3,1,2
αποφασιστικός,2,1,1,1,3,1,2
αποφασιστικότητα,2,1,1,1,3,1,2
αποφεύγομαι,-2,2,2,3,1,3,1
αποφεύγω,-2,2,2,3,1,3,1
αποφορτίζω,1,1,1,1,1.666666667,1,1
αποφόρτιση,1,1,1,1,1.666666667,1,1
αποχαιρετισμός,-4,1,1,1,1.25,2.25,1
αποχωρισμός,-4,1,1,1.25,1.25,3,1
αποχωρώ,-2,3,3,3,1,3,1
απραξία,-2,3,3,3,1,3,1
απρεπής,-2,3,3,3,1,3,1
απροίκιστος,-3,2,2.333333333,1,1,2,1.666666667
απροθυμία,-2,3,3,4,1,4,1
απροσάρμοστος,-2,3,3,3,1,3,1
απροσδόκητα,-2,3,3,4,0,4,4
απροστάτευτος,-3,3,3,4,1,4,1
απρόβλεπτων,-2,3,3,4,1,4,1
απρόθυμος,-2,3,3,4,1,4,1
απρόσεκτος,-2,3,3,3,1,3,1
απρόσιτος,-2,2,2,3,1,3,1
απρόσωπος,-1,3,3,3,1,3,1
απτικός,1,0,0,0,0,0,0
απωθώ,-3,2.333333333,3.666666667,1,1,1.333333333,1
απόβλητος,-2,3,3,3,1,3,1
απόβρασμα,-3,5,5,4,0,4,1
απόκλιση,-2,1,1,2,1,2,1
απόκρουση,-2,2,2,2,1,2,1
απόκρυφος,-1,1,1,2,0,1,1
απόκρυψη,-2,2,2,3,1,3,1
απόλαυση,4,1,1,1,4.5,1,2
απόρρητο,-1,2,2,3,1,3,1
απόρριψη,-2,4,4,5,1,5,3
απόσβεση,-2,1,1,1,1,1,1
απόσκατα,-4,3.5,4.75,1,1,2.5,1.25
απόσχιση,-2,3,3,3,1,3,1
απότομος,-2,2,2,2,1,3,1
απόφοιτος,1,0,0,0,0,0,0
απόχρωση,1,0,0,0,0,0,0
απύθμενος,-2,2,2,2,1,2,1
απώθηση,-3,2.333333333,3.666666667,1,1,1.333333333,1
απώλεια,-3,3,3,4,1,4,1
απών,-2,3,3,4,1,4,1
αράπακλας,-4,2.75,3.5,1.75,1,1.25,1.75
αράπης,-4,2.5,3.25,2,1,1,1.25
αρέσκομαι,4,1,1,1,3.5,1,2.25
αρέσω,4,1,1,1,4.5,1,3
αραμπάς,-2,2,3,1,1,1,1
αραπιά,-3,3.333333333,3.333333333,1.666666667,1,1.666666667,1.333333333
αρβανίτης,-3,3,3,1.666666667,1,1,1
αρβανίτικος,-3,3,3,1.666666667,1,1,1
αρβύλα,-3,1.666666667,2,1,1,1,2.333333333
αργοπορώ,-2,2,2,3,1,3,1
αργού,-2,2,2,3,1,3,1
αρειμάνιος,-4,3,1.5,1.25,1,1,1.75
αρετή,3,1,1,1,5,1,1
αριστοκράτης,-2,1.5,2.5,1,1,1,2
αριστοκράτισσα,-2,1.5,2.5,1,1,1,2
αριστοκρατία,-2,1.5,2.5,1,1,1,2
αρκετά,3,1,1,1,3,1,1
αρμονία,4,1,1,1,3.75,1,2.25
αρναούτης,-3,3,3,1.666666667,1,1,1
αρναούτικος,-3,3,3,1.666666667,1,1,1
αρνηθούν,-2,3,3,4,1,4,1
αρνητικός,-2,3,3,4,1,4,1
αρνούμαι,-2,4,3,3,1,4,3
αρουραίος,-2,3,3,3,1,3,1
αρπάζω,-1,4,5,4,1,4,2
αρπαγή,-2,4,4,4,1,3,1
αρρωστημένος,-4,2.75,4,2.25,1,1.75,1.5
αρρωστοφαγία,-3,2.333333333,3.333333333,2.666666667,1,1.666666667,1.666666667
αρχάριος,-2,3,3,3,1,2,1
αρχίδι,-4,4.75,4.75,1.5,1,1.25,2.5
αρχίδια,-4,5,5,4,1,4,2
αρχαίος,-1,3,3,1,1,1,2
αρχιδάτος,4,1,1,1.25,2.75,1,2.5
αρχικής,1,1,1,1,1,1,1
αρχικλέφταρος,-4,3.5,4,1.25,1,1.25,2.5
αρχικλέφτης,-4,3.5,4,1.25,1,1.25,2.25
αρχιμαλάκας,-4,5,4,2,0,5,0
αρχιμαλακισμένος,-4,5,4,2,0,5,0
αρχιμασόνος,-3,3.333333333,3,2.333333333,1,1.666666667,2.333333333
αρχιμαφιόζος,-4,3.25,3.25,2.25,1,1.25,2.25
αρχιτέκτονας,1,1,1,1,3,1,2
αρχιτεμπέλα,-4,3,3.25,1,1,1,1.5
αρχιτεμπέλης,-4,3,3.25,1,1,1,1.5
αρχιψεύτης,-4,3.25,3.5,1.25,1,1,1.75
αρχιψεύτρα,-4,3.25,3.5,1.25,1,1,1.75
αρχομανής,-4,2.5,2.75,1.25,1,1,1.5
αρχοντάνθρωπος,4,1,1,1,2.5,1,2.5
αρχοντο-,2,1,1,1,3.5,1,4
ασάκια,1,1,1,1.333333333,3.666666667,1.666666667,3.666666667
ασάφεια,-2,3,3,3,1,3,1
ασήμαντος,-2,3,3,3,1,3,1
ασίγαστος,1,1.666666667,1,1,1,1,1.333333333
ασαφής,-2,3,3,3,1,3,1
ασθένεια,-2,3,2,4,1,4,1
ασθενής,-2,1,3,3,1,3,1
ασθενείας,-2,3,2,4,1,4,1
ασθενώ,-4,3,2,4,1,4,1
ασκέρι,-3,2,2.666666667,2.333333333,1,1,2
ασπίδα,-1,1,1.5,2,1.5,1,1
ασπροπρόσωπος,4,1,1,1,3,1.5,3
ασπρουλιάρης,-3,2,3.666666667,1.333333333,1,1.333333333,2
ασπόνδυλος,-2,3,3,2,1,1,1
ασσάκια,1,1,1,1.333333333,3.666666667,1.666666667,3.666666667
αστάθεια,-3,1.333333333,1.333333333,2.333333333,1,1.333333333,1
ασταθή,-2,3,3,4,1,3,1
ασταθής,-2,3,3,4,1,3,1
αστείος,2,1,1,1,4,1,1
αστειεύομαι,3,1,1,1,4,1,1
αστοιχείωτος,-4,2.5,3,1,1,1.25,1.25
αστράφτω,2,2.333333333,1,1,5,1,4.333333333
ασυγκίνητος,-2,3,2,3,1,3,1
ασυγκράτητος,1,1.666666667,1.666666667,1.333333333,2,1,2.333333333
ασυνήθιστος,-2,2,2,2,1,2,1
ασυναίσθητος,-3,1.5,1.75,1,1,2,1.5
ασυναρτησία,-4,4,5,4,0,4,2
ασυνεπειών,-2,3,3,3,1,3,1
ασφάλεια,4,1,1,1,3,1,2
ασφαλής,4,1,1,1,3,1,2
ασφαλίζω,2,1,1,1,4,1,1
ασφαλίτης,-4,3,2.75,2.25,1,1,1
ασφυκτικός,-4,1.75,2,2.5,1,1.75,1.25
ασφυκτιώ,-4,1.75,2,2.5,1,1.75,1.25
ασφυξία,-3,1.666666667,2,2.666666667,1,2,1.666666667
ασύμφορη,-2,3,2,3,1,3,1
ασύνδετος,-2,2,1.5,1,1,1,1
ατάραχος,-1,1.5,1.5,1,1.25,1,2
ατελής,-2,3,3,3,1,3,1
ατιμία,-2,4,4,4,0,3,1
ατμίζον,-4,4,4,4,1,3,1
ατροφία,-2,3,3,3,1,3,1
ατρόμητος,2,1.25,1,1,2.5,1,2.25
ατυχήματος,-2,3,2,3,1,4,1
ατυχής,-2,3,2,3,1,4,1
ατυχία,-2,3,2,3,1,4,1
ατύχημα,-2,3,2,3,1,4,1
αυθάδης,-2,3,3,3,1,3,1
αυθαίρετος,-2,4,4,4,1,4,1
αυθαδόμουτρο,-4,3.5,3,1,1,1,1.75
αυλή,-3,2.666666667,3,1,1,1.333333333,1.666666667
αυριανισμός,-4,2.5,3.25,1.25,1,1.25,1.5
αυστηρά,-1,3,3,4,2,4,2
αυστηρός,-2,3,2,3,1,3,1
αυστηρότερος,-2,3,2,3,1,3,1
αυστηρότητα,-2,3,2,3,1,3,1
αυτάρεσκος,-2,3,3,3,1,3,1
αυτί,1,0,0,0,0,0,0
αυταπάτη,-3,2,1,1.333333333,1,1.666666667,2
αυταρχικός,-3,3,3,3,1,3,1
αυτοδύναμος,1,1,1,1,5,1,1
αυτοκτονία,-4,4,4,5,1,5,1
αυτοκτονώ,-4,4,4,5,1,5,1
αυτοκυριαρχία,3,1,1,1,2.666666667,1,2.333333333
αυτοκυριαρχούμαι,3,1,1,1,2.666666667,1,2.333333333
αυτοσαρκάζομαι,2,0,2,2,3,4,0
αυτοσεβασμός,3,1,1,1,2.666666667,1,2.666666667
αυτοσυγκράτηση,3,1,1,1,2.666666667,1,2.666666667
αυτοσυγκρατούμαι,2,1.666666667,1.666666667,1,3.333333333,1,3.666666667
αυτοσυναίσθημα,1,1.666666667,1.333333333,1.333333333,1.666666667,1.333333333,1.333333333
αυτοτέλεια,2,1,1,1,3,1,1.5
αυτοϊκανοποίηση,-2,1.666666667,2.666666667,1,1.666666667,1,2.333333333
αυτοϊκανοποιούμαι,-3,1.666666667,3,1,1.333333333,1,2.333333333
αυτός,-1,1,1,1,1,1,1
αφή,1,0,0,0,0,0,0
αφίνω,-2,3,2,3,1,2,1
αφαιρώ,-3,2.333333333,1.666666667,1.333333333,1,1.666666667,1.333333333
αφελής,-2,3,2,3,1,3,1
αφεντιά,-1,1.666666667,2.333333333,1,1.666666667,1,1.666666667
αφεντικό,-1,4,4,5,1,5,1
αφηγούμαι,1,0,0,0,0,0,0
αφηνιάζω,-4,4,2.5,1.5,1,1.25,2.5
αφηρημένος,-1,1,1,1,1,1,1
αφιλάνθρωπος,-3,2,2.666666667,1.333333333,1,3,2
αφιλανθρωπία,-3,1.666666667,2.666666667,1.333333333,1,3,2
αφιλοφρών,-3,3,2,3,1,2,1
αφιονίζω,-3,4.333333333,2.666666667,2.666666667,1.333333333,1.666666667,2.666666667
αφοπλίζω,-2,3,2,3,1,3,1
αφοσίωση,4,1,1,1,2.75,1,2.25
αφυπνίζω,2,1,1,1,1.666666667,1,2.333333333
αφύλακτος,-2,3,3,3,1,3,1
αφύπνιση,2,1,1,1,1.666666667,1,2.333333333
αφύσικος,-2,3,3,3,1,3,1
αχ,1,2.5,2.5,2.75,2.75,3.5,4.25
αχάριστος,-4,2.5,2.75,1,1,1.25,1.5
αχαλίνωτος,-1,3,3,4,1,3,1
αχαριστία,-2,4,3,3,0,3,1
αχρείος,-2,4,4,4,0,3,1
αχυράνθρωπος,-4,2.75,3.25,1,1,1,1.25
αχόρταγος,-4,2.25,2.75,1,1,1,1.75
αψηφούν,-2,3,3,4,1,3,1
αψιθυμία,-2,3.25,2,1.5,1.5,1.5,2.25
αψιμαχία,-2,3,2,3,1,3,1
αόρατος,-1,1,1,3,1,2,1
αόριστος,-2,2,1,1,1,1,1
βάναυσος,-3,3,3,3,0,3,1
βάρος,-4,1.75,2.5,1,1,2.25,1.5
βέβαιος,1,1,1,1,4,1,1
βέλτιστος,1,1,1,1,5,1,1
βέτο,-2,3,2,3,1,3,1
βία,-4,4,4,4,1,4,1
βίαιος,-3,4,4,4,1,4,1
βίδα,-3,4,4,4,1,4,1
βίτσιο,-1,4,4,3,1,4,2
βαθούλωμα,-2,2,2,3,1,2,1
βαθύς,1,1.5,2,1,1.5,2,2.5
βαλκάνιος,-2,3,3,2,1,1,1.5
βαρέλα,-3,3.333333333,3.333333333,1,1,1,1.333333333
βαρέλι,-2,4,3.5,1,1,1,1.5
βαρίδι,-2,4,3,4,1,4,2
βαραίνω,-4,1.75,1.75,1,1,2.25,1.75
βαρελάκι,-3,3.333333333,3.333333333,1,1,1,1.333333333
βαρετό,-2,3,2,3,1,3,1
βαριέμαι,-4,1,2.5,1,1,1.5,1.5
βαριεστημάρα,-4,1,2.5,1,1,1.5,1.5
βαριεστημένος,-4,1,2.5,1,1,1.5,1.5
βαριεστώ,-4,1,2.5,1,1,1.5,1.5
βαρυπενθούσα,-4,1.5,1.75,1.25,1,4.5,1.25
βαρυπενθώ,-4,1.5,1.75,1.25,1,4.5,1.25
βαρυπενθών,-4,1.5,1.75,1.25,1,4.5,1.25
βαρυστομαχιά,-4,1,2.75,1,1,1.75,1.25
βαρυστομαχιάζω,-4,1,2.75,1,1,1.75,1.25
βαρύ,-1,3,3,4,1,4,2
βαρύγδουπος,-1,3,3,4,1,4,2
βαρύμαγκας,-3,2.666666667,3.666666667,1.333333333,1,1,1.666666667
βαρύς,-3,1.25,2.25,1,1,3.25,1.25
βασανίζομαι,-2,3,3,4,1,4,1
βασανίζω,-3,3,3,4,1,4,1
βασανιστήριο,-2,3,3,4,1,4,1
βαφτιστικός,2,1,1,1,3.5,1,2
βγαίνω,1,0,0,0,0,0,0
βδέλυγμα,-5,3,5,1,0,1,1
βδελυγμία,-4,2,4,1,1,1.75,1
βεβαιώνω,1,0,0,0,0,0,0
βιάζω,-4,5,5,5,1,5,2
βιασμός,-4,4,4,4,1,4,1
βιαστής,-4,4,4,4,1,4,1
βιώσιμο,1,1,1,1,5,1,3
βλάβη,-3,3,3,4,1,4,1
βλάκας,-4,5,5,5,1,4,2
βλάπτω,-3,3,3,3,1,3,1
βλάχος,-4,3.25,3,1,1,1,1.5
βλέπω,1,0,0,0,0,0,0
βλακεία,-4,5,5,5,1,4,2
βλαμμένος,-4,3.75,3.5,1,1,1.5,1.75
βλαξ,-2,4,4,4,1,3,1
βλαστός,-2,1,1,1,2,1,1
βλαχάκι,-3,3.666666667,4,1,1,1,1.666666667
βλαχάρα,-4,3.25,3.5,1,1,1,1.5
βλαχιά,-4,3.25,3.5,1,1,1,1.5
βλαχο-,-4,3.25,3.75,1,1,1,1.5
βλαχοδήμαρχος,-4,3.25,3.5,1,1,1,1.5
βοή,-1,3,2,3,1,3,1
βοήθεια,2,1,1,1,5,1,3
βοηθώ,2,1,1,1,5,1,3
βολεμένος,-2,4,5,4,1,3,2
βολεύω,1,1.666666667,1.333333333,1,1.333333333,1,1.666666667
βομβαρδίζω,-2,4,4,4,1,3,3
βουίζω,-3,2,2.333333333,1.666666667,1,1.333333333,2.333333333
βουλησιαρχία,1,0,0,0,0,0,0
βουτυρο-,-2,1.666666667,2.666666667,1,1,1,2
βουτυρομπεμπές,-4,1.75,3,1,1,1,1.75
βουτυρόπαιδο,-4,2,3,1,1,1,1.75
βοϊδάμαξα,-3,2.333333333,2.666666667,1.333333333,1,1,1.666666667
βράζω,-2,4,4,3,1,3,1
βράχος,2,1,1,1,4,1,1
βρίζομαι,-2,4,4,4,1,4,2
βρίζω,-2,4,4,4,1,4,2
βρίσκω,1,0,0,0,0,0,0
βραβείο,3,1,1,1,4,1,1
βραδυκίνητος,-2,3,2,3,1,3,1
βρε,-2,2.5,2.5,1,2,1.5,3.5
βρομοποδαράς,-4,3,4,1,1,1,1.75
βρομοπόδαρος,-4,3,4,1,1,1,1.75
βρομόπαιδο,-3,2.666666667,3.666666667,1.333333333,1,1.333333333,1.666666667
βρομόσκυλο,-4,3.25,4,1.75,1,1,2
βρομόχερο,-4,2.666666667,3.666666667,1,1,1.333333333,1.333333333
βροντοφωνάζω,1,3,2,1,4,1,2
βρωμερός,-2,4,4,3,1,3,1
βρωμιά,-2,4,4,3,1,3,1
βρωμοποδαράς,-4,3,4,1,1,1,1.75
βρωμοπόδαρος,-4,3,4,1,1,1,1.75
βρωμόπαιδο,-4,3.5,3.75,1.25,1,1,2
βρωμόχερο,-4,3.25,4,2,1,1,1.5
βρωμώ,-3,4,4,3,1,3,1
βρώμα,-3,4,4,3,1,3,1
βρώμικο,-2,4,5,3,1,3,2
βρώμικος,-2,4,4,3,1,3,1
βυζιά,-1,4,4,4,1,4,3
βυθίζω,-2,4,4,4,1,4,1
βόμβα,-2,4,4,4,1,3,3
γ@μ@σ@με,-3,5,5,4,1,4,3
